Unnamed: 0,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
jac345,Yes (1.0),No (0.0),Yes (0.9984120000000001),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (0.933951),Yes (1.0),No (0.014941),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),No (1e-06),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),Yes (0.073546),Yes (1.0),No (0.0)
jahq76,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
jdf5g4,No (0.00162),No (0.0),No (0.031219999999999998),No (0.00021099999999999998),No (0.0),Yes (0.6522819999999999),No (0.0),No (0.001322),No (0.0),No (0.0),No (0.0),No (0.0025629999999999997),No (2.6000000000000002e-05),Yes (0.063704),Yes (0.757426),No (0.0),Yes (0.5),No (0.0),Yes (0.855935),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (5e-06),No (0.0),No (0.001397),No (0.0),Yes (1.0),Yes (0.9643450000000001),No (0.0),Yes (0.996898),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (0.998466),No (0.0),Yes (0.982606),No (0.0),Yes (0.988036),No (0.0),Yes (0.226338),Yes (0.9999899999999999),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (0.9909309999999999),No (0.0)
jfk535,Yes (1.0),No (0.0),No (0.0),Yes (0.9400459999999999),No (0.0),Yes (0.8602120000000001),No (0.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (0.535878),No (0.0),No (0.0),No (0.0),Yes (0.5),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (0.738743),Yes (1.0),No (0.0),Yes (0.702743),Yes (0.897716),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (0.717554),Yes (1.0),No (0.0),Yes (0.999707),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0)
jhgn9c,Yes (1.0),No (0.0),Yes (1.0),Yes (0.9999979999999999),No (0.0),No (0.0),Yes (0.423188),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.999991),Yes (0.242903),Yes (0.5),Yes (0.392978),No (0.0),No (0.009188),Yes (0.999999),Yes (0.9999540000000001),Yes (1.0),Yes (1.0),Yes (0.9602370000000001),No (0.000583),Yes (1.0),Yes (0.999991),Yes (0.303419),Yes (1.0),Yes (0.114544),No (0.0),No (0.0),No (0.0),No (3.1e-05),Yes (0.624358),No (0.0),No (0.048504000000000005),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.998243),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (0.999668),No (0.0)
jkn7fc,Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.230656),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.230656),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.230656),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.230656),Yes (1.0),Yes (0.230656),Yes (1.0),Yes (1.0),Yes (0.9998229999999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0)
jlgwxc,Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (0.743123),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (0.9999969999999999),No (0.0),No (0.0),Yes (0.5),No (0.0),No (0.0),Yes (0.167377),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.001065),No (0.0),Yes (0.277592),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0)
jlkm94,Yes (1.0),No (0.0),No (0.0),Yes (0.21365599999999998),No (0.0),Yes (0.389494),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (3e-06),Yes (1.0),No (0.0),No (0.0),Yes (0.35711),No (0.0),No (0.0),No (0.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.23517800000000003),Yes (0.207607),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.000127),No (0.0),No (0.0),No (0.000152),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.020091),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0)
jmd5h8,Yes (1.0),Yes (1.0),Yes (0.5956319999999999),Yes (1.0),No (0.0),Yes (0.999439),No (0.0),Yes (0.999925),Yes (1.0),Yes (1.0),No (0.0),Yes (0.999999),Yes (0.999984),Yes (1.0),Yes (0.9999889999999999),No (0.0),Yes (0.18732000000000001),Yes (1.0),No (0.009484000000000001),No (0.0024760000000000003),Yes (1.0),Yes (1.0),Yes (0.5),Yes (0.999999),No (0.010318),No (0.000837),Yes (1.0),Yes (1.0),No (0.000306),No (0.0),No (0.0),Yes (0.771567),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (0.997396),Yes (1.0),Yes (1.0),Yes (0.280767),Yes (1.0),Yes (0.510447),Yes (0.78717),No (0.000985),No (0.0),Yes (0.8369139999999999),Yes (1.0),Yes (0.6690699999999999),Yes (1.0),Yes (1.0),Yes (0.6362329999999999),Yes (0.999999),No (0.0)
jrrgxf,Yes (0.997288),No (0.0),No (0.0),Yes (0.976109),No (0.0),Yes (0.702883),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (0.590548),Yes (1.0),No (0.0),No (0.0),Yes (0.519404),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),No (0.0),Yes (0.8923260000000001),Yes (0.974253),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (0.999926),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.965469),No (0.0),No (0.0),No (0.0),No (0.0)
kab5zb,Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),No (3e-06),No (0.0),Yes (0.993405),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (0.697014),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.5),Yes (0.24292600000000003),Yes (1.0),Yes (0.999999),Yes (0.981583),No (0.0),No (0.0),Yes (0.999992),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.609771),Yes (0.11171700000000001),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0)
kah89f,Yes (1.0),No (0.0),Yes (1.0),Yes (0.996925),No (0.0),Yes (0.746517),Yes (1.0),Yes (0.999677),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (0.9995780000000001),Yes (0.119332),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (0.999999),Yes (1.0),No (0.0),Yes (0.999993),Yes (1.0),Yes (0.48972200000000005),Yes (1.0),Yes (0.5),Yes (0.799673),Yes (0.999999),Yes (0.9966309999999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.019516),Yes (1.0),No (0.0),No (0.001239),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0)
kdcncc,No (0.014846999999999999),No (0.0),No (0.0),Yes (0.185452),No (0.0),No (0.00016999999999999999),No (0.0),No (1e-06),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (0.9993559999999999),No (0.0),No (0.0),No (0.000737),No (3e-06),Yes (0.08541),No (0.0),Yes (0.999999),No (4.6e-05),No (0.0),Yes (0.9988090000000001),No (0.0),Yes (0.5),No (0.0),No (0.037541000000000005),No (0.0),No (0.0),Yes (0.8795569999999999),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.9999969999999999),No (0.0),No (0.0),Yes (0.999984),No (0.0),Yes (1.0),Yes (1.0),Yes (0.160621),No (0.0),Yes (0.999057),Yes (1.0),Yes (1.0),No (0.001347),No (0.0),No (0.044226999999999995),No (0.002518),No (0.0)
kedgm9,Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),Yes (0.059802),Yes (1.0),No (0.0),No (0.0),No (0.000246),No (0.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.002729),No (0.0),Yes (1.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (1e-06),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (0.188755),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (6.8e-05),Yes (0.952256),No (8e-06),No (0.0),No (0.0),No (0.0)
krh5f5,Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (0.9981770000000001),Yes (1.0),No (0.000667),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.986038),No (0.0),Yes (1.0),Yes (1.0),Yes (0.99811),Yes (1.0),Yes (0.999972),Yes (1.0),Yes (1.0),Yes (0.5),Yes (0.554956),Yes (0.49995900000000004),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (0.923633),Yes (1.0),No (0.0),Yes (0.06619),Yes (0.997663),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (0.9981899999999999),No (0.0)
lms8m4,Yes (0.949384),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.000196),Yes (0.9995280000000001),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (0.983667),Yes (1.0),Yes (0.999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.999986),No (0.0),Yes (0.973326),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.018979)
lpnb79,Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (0.9997370000000001),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.00031299999999999996)
mjpg95,Yes (0.932725),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),No (0.00023199999999999997),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.994419),Yes (1.0),No (0.00193),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (7.7e-05),Yes (1.0),Yes (0.525522),Yes (1.0),Yes (0.999972),Yes (1.0),No (0.016335),No (0.0),Yes (0.5),Yes (0.269874),No (0.0),Yes (0.6377430000000001),No (0.0),Yes (0.06399099999999999),Yes (1.0),No (0.0),Yes (0.930141),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.9952780000000001),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0)
